nodo,tipo,dimension,grado_centralidad,intermediacion
Q36960,target,Identidad,0.0035211267605633,0.0
Q36964,target,Identidad,0.0035211267605633,0.0
Q56333,target,Identidad,0.0035211267605633,0.0
Q72256,target,Identidad,0.0035211267605633,0.0
Q642843,target,Identidad,0.0035211267605633,0.0
Q966883,target,Identidad,0.0035211267605633,0.0
Q967031,target,Identidad,0.0035211267605633,0.0
Q1526037,target,Identidad,0.0035211267605633,0.0
Q1526525,target,Identidad,0.0035211267605633,0.0
Q1526530,target,Identidad,0.0035211267605633,0.0
Q1579560,target,Identidad,0.0035211267605633,0.0
Q1815205,target,Identidad,0.0035211267605633,0.0
Q1957508,target,Identidad,0.0035211267605633,0.0
Q1957612,target,Identidad,0.0035211267605633,0.0
Q2155119,target,Identidad,0.0035211267605633,0.0
Q2375468,target,Identidad,0.0035211267605633,0.0
Q2475442,target,Identidad,0.0035211267605633,0.0
Q2591221,target,Identidad,0.0035211267605633,0.0
Q2591230,target,Identidad,0.0035211267605633,0.0
Q2591243,target,Identidad,0.0035211267605633,0.0
Q2640935,target,Identidad,0.0035211267605633,0.0
Q2669150,target,Identidad,0.0035211267605633,0.0
Q2669184,target,Identidad,0.0035211267605633,0.0
Q2671988,target,Identidad,0.0035211267605633,0.0
Q2823170,target,Identidad,0.0035211267605633,0.0
Q2846171,target,Identidad,0.0035211267605633,0.0
Q2871740,target,Identidad,0.0035211267605633,0.0
Q2933175,target,Identidad,0.0035211267605633,0.0
Q2937196,target,Identidad,0.0035211267605633,0.0
Q2980381,target,Identidad,0.0035211267605633,0.0
Q2981620,target,Identidad,0.0035211267605633,0.0
Q3026110,target,Identidad,0.0035211267605633,0.0
Q3052971,target,Identidad,0.0035211267605633,0.0
Q3088540,target,Identidad,0.0035211267605633,0.0
Q3121032,target,Identidad,0.0035211267605633,0.0
Q3135164,target,Identidad,0.0035211267605633,0.0
Q3135432,target,Identidad,0.0035211267605633,0.0
Q3141869,target,Identidad,0.0035211267605633,0.0
Q3182567,target,Identidad,0.0035211267605633,0.0
Q3182577,target,Identidad,0.0035211267605633,0.0
Q3327405,target,Identidad,0.0035211267605633,0.0
Q3331203,target,Identidad,0.0035211267605633,0.0
Q3342992,target,Identidad,0.0035211267605633,0.0
Q3355834,target,Identidad,0.0035211267605633,0.0
Q3409318,target,Identidad,0.0035211267605633,0.0
Q3174312,target,Identidad,0.0035211267605633,0.0
Q5803287,target,Identidad,0.0035211267605633,0.0
Q14565199,target,Identidad,0.0035211267605633,0.0
Q7521945,target,Identidad,0.0035211267605633,0.0
Q8328735,target,Identidad,0.0035211267605633,0.0
Q7031247,target,Identidad,0.0035211267605633,0.0
Q217884,target,Identidad,0.0035211267605633,0.0
Q316648,target,Identidad,0.0035211267605633,0.0
Q2739669,target,Identidad,0.0035211267605633,0.0
Q2342212,target,Identidad,0.0035211267605633,0.0
Q533806,target,Identidad,0.0035211267605633,0.0
Q4546664,target,Identidad,0.0035211267605633,0.0
Q4547309,target,Identidad,0.0035211267605633,0.0
Q4547615,target,Identidad,0.0035211267605633,0.0
Q25648807,target,Identidad,0.0035211267605633,0.0
Q25648856,target,Identidad,0.0035211267605633,0.0
Q1378312,target,Identidad,0.0035211267605633,0.0
Q24288454,target,Identidad,0.0035211267605633,0.0
Q24288456,target,Identidad,0.0035211267605633,0.0
Q33317,target,Identidad,0.0035211267605633,0.0
Q33443,target,Identidad,0.0035211267605633,0.0
Q33663,target,Identidad,0.0035211267605633,0.0
Q35112,target,Identidad,0.0035211267605633,0.0
Q35128,target,Identidad,0.0035211267605633,0.0
Q35138,target,Identidad,0.0035211267605633,0.0
Q97096839,target,Identidad,0.0035211267605633,0.0
Q97318418,target,Identidad,0.0035211267605633,0.0
Q511629,target,Identidad,0.0035211267605633,0.0
Q1185963,target,Identidad,0.0035211267605633,0.0
Q116031914,target,Identidad,0.0035211267605633,0.0
Q3446596,target,Identidad,0.0035211267605633,0.0
Q3450481,target,Identidad,0.0035211267605633,0.0
Q3450504,target,Identidad,0.0035211267605633,0.0
Q3450601,target,Identidad,0.0035211267605633,0.0
Q3477218,target,Identidad,0.0035211267605633,0.0
Q3501825,target,Identidad,0.0035211267605633,0.0
Q3501858,target,Identidad,0.0035211267605633,0.0
Q3501868,target,Identidad,0.0035211267605633,0.0
Q3508036,target,Identidad,0.0035211267605633,0.0
Q3915508,target,Identidad,0.0035211267605633,0.0
Q3915654,target,Identidad,0.0035211267605633,0.0
Q5359560,target,Identidad,0.0035211267605633,0.0
Q6094343,target,Identidad,0.0035211267605633,0.0
Q7190661,target,Identidad,0.0035211267605633,0.0
Q7451029,target,Identidad,0.0035211267605633,0.0
Q12953831,target,Identidad,0.0035211267605633,0.0
Q12953835,target,Identidad,0.0035211267605633,0.0
Q12953839,target,Identidad,0.0035211267605633,0.0
Q12953840,target,Identidad,0.0035211267605633,0.0
Q12953841,target,Identidad,0.0035211267605633,0.0
Q12953843,target,Identidad,0.0035211267605633,0.0
Q12953844,target,Identidad,0.0035211267605633,0.0
Q12953848,target,Identidad,0.0035211267605633,0.0
Q12953881,target,Identidad,0.0035211267605633,0.0
Q15338035,target,Identidad,0.0035211267605633,0.0
Q20526610,target,Identidad,0.0035211267605633,0.0
Q25559675,target,Identidad,0.0035211267605633,0.0
Q25559676,target,Identidad,0.0035211267605633,0.0
Q25559677,target,Identidad,0.0035211267605633,0.0
Q25559686,target,Identidad,0.0035211267605633,0.0
Q25559688,target,Identidad,0.0035211267605633,0.0
Q25559692,target,Identidad,0.0035211267605633,0.0
Q25559706,target,Identidad,0.0035211267605633,0.0
Q42305075,target,Identidad,0.0035211267605633,0.0
Q42308366,target,Identidad,0.0035211267605633,0.0
Q63308389,target,Identidad,0.0035211267605633,0.0
Q27103714,target,Identidad,0.0035211267605633,0.0
Q827525,target,Identidad,0.0035211267605633,0.0
Q842490,target,Identidad,0.0035211267605633,0.0
Q899770,target,Identidad,0.0035211267605633,0.0
Q1043527,target,Identidad,0.0035211267605633,0.0
Q3369762,target,Identidad,0.0035211267605633,0.0
Q5611262,target,Identidad,0.0035211267605633,0.0
Q17,target,Identidad,0.0035211267605633,0.0
Q28,target,Identidad,0.0035211267605633,0.0
Q29,target,Identidad,0.0035211267605633,0.0
Q30,target,Identidad,0.0035211267605633,0.0
Q34,target,Identidad,0.0035211267605633,0.0
Q38,target,Identidad,0.0035211267605633,0.0
Q41,target,Identidad,0.0035211267605633,0.0
Q77,target,Identidad,0.0035211267605633,0.0
Q96,target,Identidad,0.0035211267605633,0.0
Q142,target,Identidad,0.0035211267605633,0.0
Q145,target,Identidad,0.0035211267605633,0.0
Q148,target,Identidad,0.0035211267605633,0.0
Q159,target,Identidad,0.0035211267605633,0.0
Q183,target,Identidad,0.0035211267605633,0.0
Q241,target,Identidad,0.0035211267605633,0.0
Q252,target,Identidad,0.0035211267605633,0.0
Q403,target,Identidad,0.0035211267605633,0.0
Q408,target,Identidad,0.0035211267605633,0.0
Q414,target,Identidad,0.0035211267605633,0.0
Q423,target,Identidad,0.0035211267605633,0.0
Q733,target,Identidad,0.0035211267605633,0.0
Q801,target,Identidad,0.0035211267605633,0.0
Q833,target,Identidad,0.0035211267605633,0.0
Q865,target,Identidad,0.0035211267605633,0.0
Q159583,target,Identidad,0.0035211267605633,0.0
Q200935,target,Identidad,0.0035211267605633,0.0
Q653884,target,Identidad,0.0035211267605633,0.0
Q68478,target,Identidad,0.0035211267605633,0.0
Q5447343,target,Identidad,0.0035211267605633,0.0
Q6173448,target,Identidad,0.0070422535211267,0.0
Q7112412,target,Identidad,0.0035211267605633,0.0
Q8607449,target,Identidad,0.0035211267605633,0.0
Q200538,intermediate,Identidad,0.0316901408450704,9.33160802269447e-05
Q108586636,target,Identidad,0.0035211267605633,0.0
Q1656682,target,Identidad,0.0035211267605633,0.0
Q7216597,target,Identidad,0.0035211267605633,0.0
Q106727050,target,Identidad,0.0035211267605633,0.0
Q230880,target,Identidad,0.0035211267605633,0.0
Q577407,target,Identidad,0.0035211267605633,0.0
Q17414829,target,Identidad,0.0035211267605633,0.0
Q112898263,intermediate,Patrimonio,0.0105633802816901,2.488428806051859e-05
Q16695773,target,Patrimonio,0.0035211267605633,0.0
Q59544,target,Patrimonio,0.0035211267605633,0.0
Q2,target_profundizado,Identidad,0.001,0.0
Q2,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q15,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
Q16,target_profundizado,Identidad,0.001,0.0
