nodo,tipo,dimension,grado_centralidad,intermediacion
Q60643381,central,Central,0.020338983050847456,0.0
Q2731,intermediate,N/A,0.04406779661016949,0.00018448057188977287
Q11185405,target,N/A,0.003389830508474576,0.0
Q2729,intermediate,N/A,0.04067796610169491,5.765017871555402e-05
Q11185437,target,N/A,0.003389830508474576,0.0
Q2730,intermediate,N/A,0.04067796610169491,5.765017871555402e-05
Q11185474,target,N/A,0.003389830508474576,0.0
Q375011,intermediate,Identidad,0.023728813559322035,6.918021445866483e-05
Q1445650,target,N/A,0.003389830508474576,0.0
Q121,target,Cultural,0.010169491525423728,0.0
Q419,intermediate,Geográfica,0.8542372881355932,0.002894038971520812
Q12585,target,Cultural,0.003389830508474576,0.0
Q18,target,N/A,0.003389830508474576,0.0
Q5390,target,N/A,0.003389830508474576,0.0
Q123759,target,N/A,0.003389830508474576,0.0
Q170424,target,N/A,0.003389830508474576,0.0
Q170481,target,N/A,0.003389830508474576,0.0
Q186444,target,N/A,0.003389830508474576,0.0
Q191384,target,N/A,0.003389830508474576,0.0
Q233611,target,N/A,0.003389830508474576,0.0
Q376150,target,N/A,0.003389830508474576,0.0
Q384535,target,N/A,0.003389830508474576,0.0
Q471690,target,N/A,0.003389830508474576,0.0
Q605326,target,N/A,0.003389830508474576,0.0
Q656801,target,N/A,0.003389830508474576,0.0
Q827525,target,N/A,0.003389830508474576,0.0
Q1065,target,N/A,0.003389830508474576,0.0
Q4230,target,N/A,0.003389830508474576,0.0
Q7809,target,N/A,0.003389830508474576,0.0
Q7817,target,N/A,0.003389830508474576,0.0
Q7825,target,N/A,0.003389830508474576,0.0
Q8475,target,N/A,0.003389830508474576,0.0
Q17495,target,N/A,0.003389830508474576,0.0
Q842490,target,N/A,0.003389830508474576,0.0
Q899770,target,N/A,0.003389830508474576,0.0
Q1043527,target,N/A,0.003389830508474576,0.0
Q3369762,target,N/A,0.003389830508474576,0.0
Q5611262,target,N/A,0.003389830508474576,0.0
Q1065053,intermediate,N/A,0.06440677966101695,0.00019601060763288367
Q123747429,target,N/A,0.003389830508474576,0.0
