dimension,grado_centralidad,intermediacion,grado,cantidad_nodos
Central,0.024922118380062305,0.0003139602803738318,8.0,2
Cultural,0.004361370716510903,0.0,1.4,5
Geográfica,0.7881619937694704,0.004848130841121495,253.0,1
Identidad,0.006709801102324466,1.8347112389168463e-05,2.1538461538461537,13
N/A,0.004230091999291512,3.874545473488993e-06,1.3578595317725752,299
Patrimonio,0.003115264797507788,0.0,1.0,1
Religioso,0.003115264797507788,0.0,1.0,1
